,response,predictor,K,AICc,Delta_AICc
74,M.prime,intercept + temp_std,4,-54.5010470990139,14.1689513819349
75,M.prime,intercept + area_std,4,-53.4945012916798,15.175497189269
76,M.prime,intercept + time_convert_std,4,-52.9895530168201,15.6804454641287
77,M.prime,intercept + area_std + temp_std,5,-52.9102939321123,15.7597045488365
78,M.prime,intercept + temp_std + time_convert_std,5,-52.7696467651692,15.9003517157795
79,M.prime,intercept + area_std + time_convert_std,5,-51.489251676267,17.1807468046817
80,M.prime,intercept + area_std + temp_std + time_convert_std,6,-51.1288638298985,17.5411346510503
81,qEt,intercept + area_std + temp_std,5,-104.942841432874,0
82,qEt,intercept + area_std + fish1 + temp_std,6,-102.684614729674,2.25822670319916
83,qEt,intercept + area_std + temp_std + time_convert_std,6,-102.66940462832,2.27343680455348
84,qEt,intercept + temp_std,4,-102.604617387744,2.33822404512939
85,qEt,intercept + fish1 + temp_std,5,-101.199779807261,3.74306162561221
86,qEt,intercept + temp_std + time_convert_std,5,-100.410561738757,4.53227969411635
87,qEt,intercept + area_std + fish1 + temp_std + time_convert_std,7,-100.374415440676,4.56842599219729
88,qEt,intercept + fish1 + temp_std + time_convert_std,6,-99.0738662021889,5.86897523068468
89,qEt,intercept + area_std,4,-98.3427660967055,6.6000753361681
90,qEt,intercept + area_std + fish1,5,-97.1711017503979,7.77173968247563
91,qEt,intercept + area_std + time_convert_std,5,-96.4930155075073,8.44982592536628
92,qEt,intercept + fish1,4,-96.4375631431593,8.50527828971428
93,qEt,intercept,3,-95.7154486178261,9.22739281504742
94,qEt,intercept + area_std + fish1 + time_convert_std,6,-95.5027748713634,9.44006656151021
95,qEt,intercept + fish1 + time_convert_std,5,-95.0965488225045,9.8462926103691
96,qEt,intercept + time_convert_std,4,-93.9489918076837,10.9938496251899
97,nsp,intercept + area_std + temp_std,5,299.899354727974,0
98,nsp,intercept + area_std,4,301.669542520186,1.7701877922122
99,nsp,intercept + area_std + temp_std + time_convert_std,6,302.131364522312,2.23200979433756
100,nsp,intercept + area_std + fish1 + temp_std,6,302.138844675439,2.23948994746496
101,nsp,intercept + area_std + fish1,5,303.048661950471,3.14930722249699
102,nsp,intercept + area_std + time_convert_std,5,303.92137091331,4.02201618533616
103,nsp,intercept + area_std + fish1 + temp_std + time_convert_std,7,304.456768405501,4.55741367752711
104,nsp,intercept + area_std + fish1 + time_convert_std,6,305.324948719187,5.42559399121268
105,nsp,intercept + fish1,4,314.399709900189,14.5003551722143
106,nsp,intercept + fish1 + temp_std,5,314.6206675493,14.7213128213256
107,nsp,intercept + temp_std,4,314.975196252839,15.0758415248648
108,nsp,intercept + fish1 + time_convert_std,5,316.430859970203,16.5315052422284
109,nsp,intercept + fish1 + temp_std + time_convert_std,6,316.904873946585,17.0055192186107
110,nsp,intercept,3,316.956616657595,17.0572619296206
111,nsp,intercept + temp_std + time_convert_std,5,317.19301407643,17.2936593484556
112,nsp,intercept + time_convert_std,4,319.135293883066,19.2359391550916
113,qDTM,intercept + fish1,4,196.402838932073,0
114,qDTM,intercept + area_std + fish1,5,197.323895125291,0.921056193218135
115,qDTM,intercept + fish1 + temp_std,5,197.686453840667,1.28361490859373
116,qDTM,intercept + fish1 + time_convert_std,5,198.372937066021,1.97009813394774
117,qDTM,intercept + area_std + fish1 + temp_std,6,198.77794146239,2.37510253031647
118,qDTM,intercept + area_std + fish1 + time_convert_std,6,199.266718222557,2.86387929048414
119,qDTM,intercept + fish1 + temp_std + time_convert_std,6,199.88558856932,3.48274963724671
120,qDTM,intercept + temp_std,4,200.815835159726,4.41299622765285
121,qDTM,intercept + area_std + fish1 + temp_std + time_convert_std,7,200.972188505937,4.56934957386403
122,qDTM,intercept,3,201.359770044956,4.95693111288284
123,qDTM,intercept + area_std + temp_std,5,203.022328745722,6.61948981364833
124,qDTM,intercept + temp_std + time_convert_std,5,203.054396583783,6.65155765170968
125,qDTM,intercept + time_convert_std,4,203.534655798498,7.1318168664246
126,qDTM,intercept + area_std,4,203.538515713579,7.13567678150613
127,qDTM,intercept + area_std + temp_std + time_convert_std,6,205.317305466206,8.91446653413303
128,qDTM,intercept + area_std + time_convert_std,5,205.767288412312,9.36444948023905
