"lake","fric_ses","fdis_ses","fdiv_ses","feve_ses"
"47aaron",-1.07378960112387,0.608186272948572,-0.00343912197160142,0.0424569718122533
"annika",-0.283787602648496,-1.40814290352856,-0.117405512427925,2.17010948089145
"arrowhead",-0.264603801358661,0.414204862809008,0.657594605271001,-0.0560997289632355
"big_sandy",-1.68192920762706,1.00700939199634,0.908065422250049,-1.23417449563634
"big_stough",-1.38158821224455,-1.30348986040382,1.18391687802526,1.09878415220795
"black_joe",-0.715677438384205,0.221139929860294,0.501073088875864,-1.01110246988248
"blackrock",-0.00592452190300313,0.86478942089432,-0.745984514708951,0.615308201851005
"blue",-0.601021627031344,-0.726611021640318,-1.21224027240343,1.3731180368843
"bluebell",-0.91511238784499,1.10761889714558,-1.64287515547726,-0.0607311488328909
"boot",-0.550761583803367,0.947626800704993,-0.87636040677331,-1.78770453190196
"boulder",0.460479049068027,0.705084588376745,1.00635973829676,0.732416236713963
"btwn_wrbnt_bldr",-0.875688321447363,1.40911109822001,1.13323499748062,1.62361533099802
"casey",1.03739151328801,1.84360989453932,0.453175525250678,1.68517714832777
"clear",-1.03398182985922,-0.499417155925505,1.2766174293868,0.113625940888947
"cliff",1.44720272107402,0.763072160469921,-1.18244299856133,-1.41755024709975
"crater",-0.20626405413108,-0.475576009998937,0.678359808197047,1.14329016409961
"cutthroat_newfork",-0.532870909398475,0.0641416540164274,-1.13876441448207,-0.982419035907973
"darren",-0.464012599246906,-1.23469290129315,-0.883958589172165,0.112113464146684
"deep",-0.746379016269544,1.01094505763794,0.695928821250534,1.09836076186221
"dipper",-0.739439437001832,-0.115205143128406,0.854896381839755,1.54849078164706
"dome",0.302670324355088,0.727462536391893,0.273327141268916,0.162569718690645
"east_bear",1.34165882807357,1.66916305568921,1.10678663726532,0.403121612199901
"east_noname",-0.663856923891649,-0.0884708148399306,-0.203649974987309,-0.309574688658505
"elephant_head",1.94535456850059,1.04297309700769,0.758664815582761,0.401603646154654
"elk",1.39131769908935,-0.65797644855738,-0.952030731922524,-0.926327848315253
"final",1.53103484718281,1.08572691506963,-0.641892763639995,2.00151281925025
"footprint",-0.541851579298648,-0.071153643435436,1.12214295621587,-0.0776587655364852
"fox",1.14565631542485,0.820554043007181,-0.888997159199466,1.50517552071308
"frozen1",-1.06492371199087,1.25676536997333,-0.743583038225554,1.43433407421591
"frozen2",-0.90057286125984,1.688086750854,0.642394239596931,2.25061785337473
"heebeecheechee",-1.73055058533172,0.267356611886861,0.806370457512535,-0.461653138506656
"heron",0.318894914905061,0.391822192994837,0.622009161667274,-0.610614362182583
"hidden",-0.546687603411087,-0.437405783874357,-0.362428349813075,-0.460881384300205
"island",-0.437309420970672,0.432464016005326,-0.044651824103054,-0.18571885156244
"jordan",1.78702473669708,1.89398996228807,0.527999984100769,2.22209802225561
"lake_37",1.03101586855192,-1.00441967568806,-0.897163464170098,-1.63485826617534
"lake_below_tb",0.529321059763769,0.547706105108038,-0.630429407310252,1.51592635680465
"lightening",0.332192891195585,-0.604636263766472,-0.84934316030955,0.860377351338487
"lindsey",0.855819041622381,1.65542821036373,0.364465621758296,0.256401985407905
"little_island",-0.573182208891844,0.798969304774009,0.28501455558724,-1.31963339236399
"little_loch_ness",0.61505693987232,1.31982925406927,0.609712198629105,1.776075452982
"little_mtnsheep",-0.731647647900496,0.850441988862332,0.443288025685329,1.44680189434663
"little_seneca",-1.13537475609681,0.633048359576436,0.701817613316571,-0.424649407236043
"little_tayo",1.71259268639085,-0.397648230611468,1.04502039728135,-0.00525374392347396
"lonesome",-0.39310798243387,-0.472569802028465,1.12113712777437,-0.688245828293291
"lower_deepcreek",1.62218723186821,0.365183664942056,-1.04495736050834,1.1631097661996
"lower_ice",-1.37364674949635,-1.4657015888047,1.24543896350552,-1.10973469162422
"lower_twin",-0.346233581431329,0.900533075507533,0.429304863631474,1.35418422138822
"lower_windy",-1.10715371259358,-1.17017019007513,1.1108050017844,-0.856475308791104
"lucia",-0.246047498029827,1.1147339750763,-0.444309729685933,2.2683118006753
"mid_deepcreek",2.16866786851914,1.66782794976087,0.769414830398152,-0.772335628470058
"mid_indian",1.55713497953366,-0.911581122183697,1.13776146773991,0.511937285970614
"miller",0.138832891108236,0.559913370539064,0.728967618117693,1.87409670697456
"mountain_sheep",-1.11897775715831,-0.590803349588016,0.264019249299954,0.503293301031386
"no_trowel",-0.706903785344591,0.866277261549031,0.973154728293438,1.45285776701338
"north",-1.39282858190441,0.22798938688968,0.417562973210981,-0.881244127409535
"north_blue",-0.644258875847384,0.578065814584207,0.911716638023478,0.492526538697182
"north_jaide",1.1612794047639,-0.634596570445606,-0.0318512343269546,0.308885477019474
"paintbrush",0.91336116100938,1.45751828211479,-0.415955789471701,1.04412609719323
"palmer",-0.790679393850029,-0.434655563518666,-1.94328451983978,-0.693789278580366
"pass",1.31946655814234,-0.924785527773384,-0.636004272615348,0.647214021627858
"rainbow",-0.992624740559788,0.00194485111429945,1.12453453888753,0.971867800966639
"rapid",-1.08693975406311,1.00556282586356,0.206174208766418,-0.149286098855111
"sad_shrimp",-0.214341591029149,0.970810338855308,0.189902781382195,0.135297065988249
"shoal",-1.2564982580455,0.981299629160159,0.446004365634637,0.277387044065008
"sonnicant",-0.932069353763232,-0.11205249224885,0.00901682192835641,0.740089009178643
"south_jaide",1.65082971549387,0.307109020170695,-0.165020982514669,0.309857318410312
"spider",-0.379109078980693,-0.176434461625271,0.65066414518605,0.587758313889847
"summit",-0.578188761463831,0.305397165241846,-0.962632750451036,-1.91225322758787
